"Tag_Status","Building_block","Discipline","Cost_Code_COR","Tag_Number","Top_Tag","Skid_Ref","PO_Package_Number","System_Number","Equinor_Equipment_Category_1_4","Equipment_Type_Description","Area","Sub_Area","Function_Area","L_or_TT_mm","W_or_ID_mm","H_or_TT_mm","Footprint_m2","Modification_Phase_Code","Modification_Construction_Code","Modification_Handling_Code","Allowance_pct","Net_Dry_Weight_kg","Gross_Dry_Weight_kg","Content_Weight_kg","Dry_CoG_East_mm","Dry_CoG_North_mm","Dry_CoG_Elevation_mm","Price_Source","Cost_Proj_currency","Cost_Date","Exch_rate","NOK","Pressure_1_barg","Pressure_2_barg","Temp_1_degC","Temp_2_degC","Flow_rate_1_m3_per_hr","Flow_rate_2_m3_per_hr","Capacity_m3","Heat_transfer_medium_type","Speed_RPM","Heat_Exchanged_per_Unit_kW","Shaft_Power_kW","Rated_Power_kW","Heat_Transfer_Surface_Area_m2","Material_1","Material_2","Reference_or_Source","Reference_doc_dwg_PID_etc","Risk_Weight_accuracy","Risk_Footprint_accuracy","Risk_Design_basis","Risk_comments","Remarks","CLASS_OF_ACTIVITY","CLASS_OF_FUNCTIONAL_OBJECT","CLASS_OF_INANIMATE_PHYSICAL_OBJECT"
"DIFF",,"E",,"A-18BY001",,,"-",18.0,,"Optical Junction Box Central","Cellar deck","AP200","AP200",1000.0,800.0,400.0,0.8,,,"PERM",0.15,300.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Interface Patch boxes for subsea cables",,,
"DIFF",,"E",,"A-18BY002",,,"-",18.0,,"Optical Junction Box for UID","Cellar deck","AP200","AP200",1000.0,800.0,400.0,0.8,,,"PERM",0.15,300.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Interface Patch boxes for subsea cables. To be used for UID",,,
,,"J","ERCT","A-18CT001",,,"EI001",18.0,,"Hydraulic Power Unit (LP and HP)","Cellar deck","AP200","AP200",5300.0,2400.0,3000.0,12.72,,,"PERM",0.15,10000.0,11500.0,4000.0,320199.0,396399.0,514025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Based on Cre8 GA ,Size and number of connections to be updated due to new field configurairion",,,
,,"J","EJJF","A-18JC001",,,"CPI",18.0,,"DAS/DTS system cabinet","Cellar deck","AQ200","AQ200",1000.0,800.0,2000.0,0.8,,,"PERM",0.15,300.0,345.0,,326290.0,383938.0,502360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"J",,"A-18JF001",,,"CPI",18.0,,"DAS/DTS Fibre splice cabinet","Cellar deck","AP200","AP200",1000.0,800.0,2000.0,0.8,,,"PERM",0.15,300.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"J","EJJF","A-18JF002",,,"CPI",18.0,,"Down hole monitoring cabinet","Cellar deck","AQ200","AQ200",1000.0,800.0,2000.0,0.8,,,"PERM",0.15,300.0,345.0,,326290.0,383938.0,502360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R",,"A-18LE001",,,"-",18.0,,"Temporary Pig Receiver - Krafla LP/Central (14"")","Mezzanine deck","AP300","AP300 CANTILEVER",6200.0,400.0,400.0,2.48,,,"TEMP",0.15,6770.0,7785.499999999999,,297399.0,369000.0,508090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R",,"A-18LE002",,,"-",18.0,,"Temporary Pig Receiver - Krafla HP (8"")","Mezzanine deck","AP300","AP300 CANTILEVER",5600.0,400.0,400.0,2.24,,,"TEMP",0.15,6770.0,7785.499999999999,,297399.0,369000.0,508090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"J",,"A-18UX001",,,"EI014",18.0,,"TUTU/HTP Service Umbilical from PDQ","Cellar deck","AP200","AP200",3400.0,1200.0,2400.0,4.08,,,"PERM",0.15,1200.0,1380.0,,317143.0,378400.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Contains only interface to subsea umbilicals for liquid only",,,
,,"J",,"A-18UX002",,,"EI014",18.0,,"TUTU/HTP Service Umbilical to Central and Krafla","Cellar deck","AP200","AP200",1600.0,800.0,2000.0,1.28,,,"PERM",0.15,700.0,804.9999999999999,,314618.0,379775.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Contains only interface to subsea umbilicals for liquid only",,,
,,"E","EEEC","A-19EC001",,,"-",19.0,,"DEH Control Cabinet Central and Krafla LP Pipeline","Mezzanine deck","AQ300","HV equipment room",600.0,600.0,2000.0,0.36,,,"PERM",0.15,500.0,575.0,,323503.0,379800.0,509200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"for the HP pipeline , to be decided on c study   phase",,,
"NEW",,"E","EEEC","A-19EC002",,,"-",19.0,,"DCFO Remote Control Cabinet","Mezzanine deck","AQ300","HV equipment room",1000.0,800.0,2200.0,0.8,,,"PERM",0.15,300.0,575.0,,326529.0,379970.0,509400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"for the HP pipeline , to be decided on c study   phase",,,
