"Tag_Status","Building_block","Discipline","Cost_Code_COR","Tag_Number","Top_Tag","Skid_Ref","PO_Package_Number","System_Number","Equinor_Equipment_Category_1_4","Equipment_TypeDescription","Area","Sub_Area","Function_Area","L_or_TT_mm","W_or_ID_mm","H_or_TT_mm","Footprint_m2","Modification_Phase_Code","Modification_Construction_Code","Modification_Handling_Code","Allowance_prct","Net_Dry_Weight_kg","Gross_Dry_Weight_kg","Content_Weight_kg","Dry_CoGEast_mm","Dry_CoGNorth_mm","Dry_CoGElevation_mm","Price_Source","CostProj_currency","Cost_Date","Exch_rate","NOK","Pressure_1Barg","Pressure_2Barg","Temp_1degC","Temp_2degC","Flow_rate_1m3_or_hr","Flow_rate_2m3_or_hr","Capacity_m3","Heat_transfer_medium_type","SpeedRPM","Heat_Exchanged_per_Unit_kW","Shaft_Power_kW","Rated_Power_kW","Heat_Transfer_Surface_Aream2","Material_1","Material_2","Reference_or_Source","Referencedoc_dwg_PID_etc","RiskWeight_accuracy","RiskFootprint_accuracy","RiskDesign_basis","Risk_comments","Remarks","Iso_159264_Physical_RDL_","Iso_159264_Physical_Description_","Iso_159264_Activity_RDL_","Iso_159264_Activity_Description_","Posccesar_RDL_"
,,"J","ERCT","A-18CT001",,,"EI001","18",,"Hydraulic Power Unit (LP and HP)","Cellar deck","AP200","AP200","5300","2400","3000","12.72",,,"PERM","0.15","10000","11500","4000","320199","396399","514025",,,,,,,,,,,,,,,,,,,,,,,,,,,"Based on Cre8 GA ,Size and number of connections to be revised due to new field configurairion ",,,,,
,,"J","EJJF","A-18JC001",,,"CPI","18",,"DAS/DTS system cabinet","Cellar deck","AQ200","AQ200","1000","800","2000","0.8",,,"PERM","0.15","300","345",,"326290","383938","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"J",,"A-18JF001",,,"CPI","18",,"DAS/DTS Fibre splice cabinet","Cellar deck","AP200","AP200","1000","800","2000","0.8",,,"PERM","0.15","300","345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"J","EJJF","A-18JF002",,,"CPI","18",,"Down hole monitoring cabinet","Cellar deck","AQ200","AQ200","1000","800","2000","0.8",,,"PERM","0.15","300","345",,"326290","383938","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R",,"A-18LE001",,,,"18",,"Temporary Pig Receiver - Krafla LP/Central (14"")","Mezzanine deck","AP300","AP300 CANTILEVER","6200","400","400","2.48",,,"TEMP","0.15","6770","7785.5",,"297399","369000","508090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R",,"A-18LE002",,,,"18",,"Temporary Pig Receiver - Krafla HP (8"")","Mezzanine deck","AP300","AP300 CANTILEVER","5600","400","400","2.24",,,"TEMP","0.15","6770","7785.5",,"297399","369000","508090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"J",,"A-18UX001",,,"EI014","18",,"TUTU/HTP Service Umbilical from PDQ","Cellar deck","AP200","AP200","3400","1200","2400","4.08",,,"PERM","0.15","1200","1380",,"317143","378400","500000",,,,,,,,,,,,,,,,,,,,,,,,,,,"Contains only interface to subsea umbilicals for liquid only",,,,,
,,"J",,"A-18UX002",,,"EI014","18",,"TUTU/HTP Service Umbilical to Central and Krafla","Cellar deck","AP200","AP200","1600","800","2000","1.28",,,"PERM","0.15","700","805",,"314618","379775","500000",,,,,,,,,,,,,,,,,,,,,,,,,,,"Contains only interface to subsea umbilicals for liquid only",,,,,
"DIFF",,"E",,"A-18BY001",,,,"18",,"Optical Junction Box Central","Cellar deck","AP200","AP200","1000","800","400","0.8",,,"PERM","0.15","300","345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Interface Patch boxes for subsea cables",,,,,
"DIFF",,"E",,"A-18BY002",,,,"18",,"Optical Junction Box for UID","Cellar deck","AP200","AP200","1000","800","400","0.8",,,"PERM","0.15","300","345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Interface Patch boxes for subsea cables. To be used for UID ",,,,,
,,"E","EEEC","A-19EC001",,,"-","19",,"DEH Control Cabinet Central and Krafla LP Pipeline","Mezzanine deck","AQ300","HV equipment room","600","600","2000","0.36",,,"PERM","0.15","500","575",,"323503","379800","509200",,,,,,,,,,,,,,,,," ",,,,,,,,,,"for the HP pipeline , to be decided on c study   phase ",,,,,
"NEW",,"E","EEEC","A-19EC002",,,"-","19",,"DCFO Remote Control Cabinet","Mezzanine deck","AQ300","HV equipment room","1000","800","2200","0.8",,,"PERM","0.15","300","575",,"326529","379970","509400",,,,,,,,,,,,,,,,," ",,,,,,,,,,"for the HP pipeline , to be decided on c study   phase ",,,,,
"NEW",,"E","EEEC","A-19EC003",,,"-","19",,"UID Power Control Cabinet","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","400","575",,"327292","383938","502360",,,,,,,,,,,,,,,,," ",,,,,,,,,,"for the HP pipeline , to be decided on c study   phase ",,,,,
"NEW",,"E","EEER","A-19ER001",,,"-","19",,"DCFO Power Unit A","Mezzanine deck","AQ300","HV equipment room","1000","800","2200","0.8",,,"PERM","0.15","450","517.5",,"323523","379970","509400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"E","EEER","A-19ER002",,,"-","19",,"DCFO Power Unit B","Mezzanine deck","AQ300","HV equipment room","1000","800","2200","0.8",,,"PERM","0.15","450","517.5",,"324525","379970","509200",,,,,,,,,,,,,,,,,"500",,,,,,,,,,,,,,,
,,"E","EEET","A-19ET001",,,"-","19",,"DEH Transformer Central and Krafla LP Pipeline","Mezzanine deck","AQ300","MV Transformer room","3000","1700","3000","5.1",,,"PERM","0.15","8500","9000",,"341447","399732","508535",,,,,,,,,,,,,,,,,"5000",,,,,,,,,,"for the HP pipeline , to be decided on c study   phase ",,,,,
"NEW",,"E","EEEX","A-19EX001",,,"-","19",,"Cable Routing Cabinet","Mezzanine deck","AQ300","HV equipment room","1000","800","2200","0.8",,,"PERM","0.15","300","575",,"326529","379970","509400",,,,,,,,,,,,,,,,," ",,,,,,,,,,"for the HP pipeline , to be decided on c study   phase ",,,,,
,,"E","EEEY","A-19EY001",,,"-","19",,"DEH Inductor L1 Unit Central and Krafla LP Pipeline","Mezzanine deck","AQ300","HV equipment room","3600","1300","2700","4.68",,,"PERM","0.15","7200","8280",,"335352","372265","508350",,,,,,,,,,,,,,,,,,,,,,,,,,,"for the HP pipeline , to be decided on c study   phase ",,,,,
,,"E","EEEY","A-19EY002",,,"-","19",,"DEH Capacitance C1 Unit Central and Krafla LP Pipeline","Mezzanine deck","AQ300","HV equipment room","3600","1300","2400","4.68",,,"PERM","0.15","2200","2530",,"327353","372262","508200",,,,,,,,,,,,,,,,,,,,,,,,,,,"for the HP pipeline , to be decided on c study   phase ",,,,,
,,"E","EEEY","A-19EY003",,,"-","19",,"DEH Capacitance C2 Unit Central and Krafla LP Pipeline","Mezzanine deck","AQ300","HV equipment room","3600","1300","2400","4.68",,,"PERM","0.15","3800","4370",,"340352","372265","508200",,,,,,,,,,,,,,,,," ",,,,,,,,,,"for the HP pipeline , to be decided on c study   phase ",,,,,
"NEW",,"J","EJJB","A-19JQ001",,,"CPI","19",,"Subsea contractor network cabinet SDPU","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","200","230",,"332000","374740","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"J","EJJB","A-19JQ002",,,"CPI","19",,"Subsea contractor network cabinet SGRU A","Cellar deck","AQ200","CER 2","800","800","2200","0.64",,,"PERM","0.15","200","230",,"332802","374740","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"J","EJJB","A-19JQ003",,,"CPI","19",,"Subsea contractor network cabinet SGRU B","Cellar deck","AQ200","CER 2","800","800","2200","0.64",,,"PERM","0.15","200","230",,"333604","374740","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
